images,masks
cropped_00000007_2_0_1920.png,cropped_00000007_2_0_1920_mask.png
cropped_00000007_2_1920_2400.png,cropped_00000007_2_1920_2400_mask.png
cropped_00000007_2_1440_1440.png,cropped_00000007_2_1440_1440_mask.png
cropped_00000007_2_1920_2880.png,cropped_00000007_2_1920_2880_mask.png
cropped_00000007_2_3840_0.png,cropped_00000007_2_3840_0_mask.png
cropped_00000007_2_0_0.png,cropped_00000007_2_0_0_mask.png
cropped_00000007_2_1440_1920.png,cropped_00000007_2_1440_1920_mask.png
cropped_00000007_2_2400_480.png,cropped_00000007_2_2400_480_mask.png
cropped_00000007_2_2400_960.png,cropped_00000007_2_2400_960_mask.png
cropped_00000007_2_1920_1920.png,cropped_00000007_2_1920_1920_mask.png
cropped_00000007_2_480_1920.png,cropped_00000007_2_480_1920_mask.png
cropped_00000007_2_0_480.png,cropped_00000007_2_0_480_mask.png
cropped_00000007_2_480_2880.png,cropped_00000007_2_480_2880_mask.png
cropped_00000007_2_0_2400.png,cropped_00000007_2_0_2400_mask.png
cropped_00000007_2_1920_480.png,cropped_00000007_2_1920_480_mask.png
cropped_00000007_2_2400_1920.png,cropped_00000007_2_2400_1920_mask.png
cropped_00000007_2_2880_1440.png,cropped_00000007_2_2880_1440_mask.png
cropped_00000007_2_480_0.png,cropped_00000007_2_480_0_mask.png
cropped_00000007_2_3840_480.png,cropped_00000007_2_3840_480_mask.png
cropped_00000007_2_480_1440.png,cropped_00000007_2_480_1440_mask.png
cropped_00000007_2_1920_960.png,cropped_00000007_2_1920_960_mask.png
cropped_00000007_2_1440_0.png,cropped_00000007_2_1440_0_mask.png
cropped_0009_label_GQ173MEa_0_1440.png,cropped_0009_label_GQ173MEa_0_1440_mask.png
cropped_0009_label_GQ173MEa_2400_1920.png,cropped_0009_label_GQ173MEa_2400_1920_mask.png
cropped_0009_label_GQ173MEa_960_2400.png,cropped_0009_label_GQ173MEa_960_2400_mask.png
cropped_0009_label_GQ173MEa_480_1440.png,cropped_0009_label_GQ173MEa_480_1440_mask.png
cropped_0009_label_GQ173MEa_1920_1920.png,cropped_0009_label_GQ173MEa_1920_1920_mask.png
cropped_0009_label_GQ173MEa_480_1920.png,cropped_0009_label_GQ173MEa_480_1920_mask.png
cropped_0009_label_GQ173MEa_2400_2880.png,cropped_0009_label_GQ173MEa_2400_2880_mask.png
cropped_0009_label_GQ173MEa_960_2880.png,cropped_0009_label_GQ173MEa_960_2880_mask.png
cropped_0009_label_GQ173MEa_960_480.png,cropped_0009_label_GQ173MEa_960_480_mask.png
cropped_0009_label_GQ173MEa_3360_0.png,cropped_0009_label_GQ173MEa_3360_0_mask.png
cropped_0009_label_GQ173MEa_3360_2400.png,cropped_0009_label_GQ173MEa_3360_2400_mask.png
